Date,Open,High,Low,Close,Volume
2017-03-28,73.1258,73.7592,72.9262,73.5423,2755000
2017-03-29,73.3688,73.551,73.1692,73.2733,2066600
2017-03-30,73.3861,73.7159,72.9609,73.551,3204100
2017-03-31,73.2386,73.7072,72.9609,72.9869,3151900
2017-04-03,73.0043,73.5944,72.9522,73.282,2429900
2017-04-04,73.3514,74.9654,73.1431,74.7051,4624600
2017-04-05,74.5576,75.2518,74.2539,74.3059,4056300
2017-04-06,74.1671,74.5402,73.8634,74.0716,2684600
2017-04-07,74.0543,74.332,73.6812,74.0369,2808500
2017-04-10,74.1584,74.4968,73.9588,74.1671,1994900
2017-04-11,74.1671,74.7485,74.0369,74.5663,2699200
2017-04-12,74.4014,74.922,74.3406,74.8439,2545100
2017-04-13,74.6531,74.9047,74.4361,74.5229,2172500
2017-04-17,70.5486,72.0151,70.3837,71.4857,12424500
2017-04-18,71.0779,71.2427,70.1928,70.4618,8210800
2017-04-19,70.3924,70.9043,69.3163,70.1928,5504500
2017-04-20,70.4531,71.3295,70.0713,71.1039,3267200
2017-04-21,70.9998,71.3642,70.8696,71.0605,3204000
2017-04-24,71.8675,72.6572,71.7807,72.3882,4813600
2017-04-25,71.7721,71.7721,69.8543,70.4618,9221100
2017-04-26,70.5833,70.9043,70.2275,70.2535,4421700
2017-04-27,70.2622,70.8089,70.0192,70.5746,3219200
2017-04-28,70.6093,71.3729,70.4617,71.208,3161800
2017-05-01,71.2341,71.3469,70.939,70.9998,2397200
2017-05-02,71.1386,71.1386,70.7221,70.8957,3626500
2017-05-03,70.5138,70.7742,70.4965,70.5052,3373200
2017-05-04,70.592,72.1105,70.5399,72.0585,3567100
2017-05-05,72.0758,72.1192,71.2167,71.5985,3135600
2017-05-08,71.4684,71.5118,69.7329,70.0019,4712900
2017-05-09,70.132,70.2362,69.7242,70.106,3988100
2017-05-10,70.1494,70.3837,69.5853,70.3316,4018500
2017-05-11,70.4976,70.7421,69.7902,70.0609,3920500
2017-05-12,70.157,70.4015,69.6417,70.0347,2935200
2017-05-15,70.0347,70.2967,69.3709,70.1307,2559100
2017-05-16,70.0696,70.1307,68.4714,68.9866,7170100
2017-05-17,68.9867,69.0216,68.0522,68.2443,4486000
2017-05-18,68.6198,68.943,68.157,68.384,2928200
2017-05-19,68.5587,68.7421,67.8862,67.9473,5091800
2017-05-22,68.0347,68.1307,67.1176,67.2312,6936500
2017-05-23,67.4146,68.4364,67.2661,68.1133,5884800
2017-05-24,68.1133,68.3665,67.9473,68.0871,2253800
2017-05-25,68.3927,68.5237,67.9124,68.4189,1736700
2017-05-26,68.2268,68.4277,67.8775,68.1657,2238900
2017-05-30,68.0783,68.7071,67.9037,68.4277,3244900
2017-05-31,68.5412,69.7901,68.5412,69.4932,5163900
2017-06-01,69.5194,70.0696,69.3272,69.86,3093100
2017-06-02,70.2792,70.7945,69.7814,69.9823,4005700
2017-06-05,69.8687,69.9299,68.9779,69.3011,2814800
2017-06-06,69.3535,69.3971,68.777,69.074,2688000
2017-06-07,69.1351,69.467,69.074,69.336,2899900
2017-06-08,69.336,70.2705,69.2923,69.9561,4610400
2017-06-09,69.9561,70.908,69.6067,70.777,4599300
2017-06-12,70.7071,70.9953,70.6023,70.6547,2842400
2017-06-13,70.9255,70.9954,70.0783,70.9604,4492900
2017-06-14,70.6548,71.2748,70.5412,71.2661,4025600
2017-06-15,71.0827,71.7465,70.7072,71.6591,3484800
2017-06-16,71.8251,72.1045,71.3185,71.5107,4903200
2017-06-19,71.6329,72.2792,71.5019,71.9124,2538000
2017-06-20,71.8076,73.0827,71.8076,72.2705,3694700
2017-06-21,72.5761,72.8469,71.9473,72.1744,3781400
2017-06-22,72.3491,74.0259,72.3491,73.6329,4891600
2017-06-23,73.467,73.6591,73.1089,73.2661,3928000
2017-06-26,73.4408,73.7552,73.0652,73.6067,2952800
2017-06-27,73.5194,73.6504,72.5238,72.5238,2365800
2017-06-28,72.8818,73.2923,72.4015,72.5762,3035300
2017-06-29,72.5674,72.681,71.8862,72.2268,2366800
2017-06-30,72.4626,72.6023,71.6154,71.8774,5713900
2017-07-03,71.9735,72.4102,71.8949,72.2268,1464700
2017-07-05,72.1657,72.2792,71.6417,72.2268,2263600
2017-07-06,71.8949,72.1133,71.0652,71.2661,3391000
2017-07-07,71.2836,71.9211,71.1176,71.8687,1803700
2017-07-10,71.9037,72.1133,71.5194,71.86,2269700
2017-07-11,71.956,72.3491,71.5106,71.9211,2708900
2017-07-12,72.253,73.3796,72.1482,72.9255,3527000
2017-07-13,72.9779,73.563,72.6285,73.3796,2944100
2017-07-14,73.4582,73.8687,73.1962,73.6678,2005700
2017-07-17,73.6329,73.8251,72.8556,73.0478,1989100
2017-07-18,72.9343,73.1613,72.681,73.1002,1704500
